"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,-5.30143845747453,0.028,0.371,0,"Naive CD4+ T cells","SLPI"
"2",0,-5.15483903864699,0.006,0.276,0,"Naive CD4+ T cells","PPIC"
"3",0,-5.26527481925881,0.035,0.291,0,"Naive CD4+ T cells","IGFBP7"
"4",0,-5.56669083996002,0.017,0.253,0,"Naive CD4+ T cells","VCAN"
"5",0,-5.23021249829043,0.014,0.233,0,"Naive CD4+ T cells","C3"
"6",0,-3.26520024112688,0.062,0.336,0,"Non-classical monocytes","DSG2"
"7",0,-3.21273427221006,0.025,0.233,0,"Non-classical monocytes","PAWR"
"8",0,-3.43240117424322,0.024,0.228,0,"Non-classical monocytes","NR2F2"
"9",0,-3.96025650910467,0.026,0.226,0,"Non-classical monocytes","CAV1"
"10",0,-3.64771640664363,0.05,0.25,0,"Non-classical monocytes","NNMT"
"11",0,-4.38868105337512,0.117,0.493,0,"Effector CD8+ T cells","LYZ"
"12",0,-4.23979585765662,0.056,0.296,0,"Effector CD8+ T cells","IGFBP7"
"13",0,-4.62774562796982,0.023,0.26,0,"Effector CD8+ T cells","VCAN"
"14",0,-4.73726664462457,0.028,0.263,0,"Effector CD8+ T cells","CEACAM6"
"15",0,-4.13562423003682,0.013,0.24,0,"Effector CD8+ T cells","TMC5"
"16",0,-4.30490071083506,0.072,0.413,0,"Liver progenitor cell","CD52"
"17",0,-4.30842463333466,0.07,0.352,0,"Liver progenitor cell","RGS1"
"18",0,-4.30961041330236,0.046,0.3,0,"Liver progenitor cell","CD2"
"19",0,-4.4312211114798,0.031,0.243,0,"Liver progenitor cell","GPR183"
"20",0,-4.26006060646976,0.047,0.251,0,"Liver progenitor cell","CST7"
"21",0,-5.38311201545604,0.005,0.259,0,"Natural killer cells","PPIC"
"22",0,-5.35340248321205,0.081,0.329,0,"Natural killer cells","SPP1"
"23",0,-5.77694404908987,0.018,0.257,0,"Natural killer cells","FN1"
"24",0,-5.31153754064117,0.013,0.246,0,"Natural killer cells","RNASE1"
"25",0,-5.64649602576907,0.014,0.238,0,"Natural killer cells","VCAN"
"26",0,-4.24070635168784,0.088,0.348,0,"Hepatocytes","CCL5"
"27",0,-4.3883304666123,0.036,0.266,0,"Hepatocytes","CST7"
"28",0,-4.49976060982949,0.04,0.257,0,"Hepatocytes","GZMA"
"29",0,-4.43088178735934,0.082,0.299,0,"Hepatocytes","CCL4"
"30",0,-4.65848201170503,0.047,0.259,0,"Hepatocytes","NKG7"
"31",0,-4.05659695775782,0.044,0.345,0,"Hematopoietic cell","C15orf48"
"32",0,-4.1654169656999,0.072,0.366,0,"Hematopoietic cell","KRT7"
"33",0,-4.28851542865159,0.049,0.327,0,"Hematopoietic cell","CLDN4"
"34",0,-4.34879577159976,0.048,0.293,0,"Hematopoietic cell","TYROBP"
"35",4.20285732143447e-218,-4.24611095665663,0.121,0.323,1.53828780821823e-213,"Hematopoietic cell","SPP1"
